num_nodes,num_edges,infected_now,avg_degree,clustering_coeff,infected_after_10
100,484,1,9.68,0.09325646575646575,100
100,484,1,9.68,0.0775556388056388,100
100,488,1,9.76,0.099917928476752,100
100,492,1,9.84,0.10248407148407149,100
100,486,1,9.72,0.08079057054057054,100
100,483,1,9.66,0.09882522869287574,100
100,488,1,9.76,0.09289679764679765,100
100,491,1,9.82,0.08879413070589541,100
100,478,1,9.56,0.0831346757817346,100
100,489,1,9.78,0.09211660561660562,100
100,485,1,9.7,0.10002297702297701,100
100,490,1,9.8,0.09834038184038184,100
100,484,1,9.68,0.09953585303585304,100
100,489,1,9.78,0.0903051393051393,100
100,488,1,9.76,0.08333835119129236,100
100,491,1,9.82,0.08742471417471417,100
100,490,1,9.8,0.09375774225774226,100
100,490,1,9.8,0.07876716747304982,100
100,487,1,9.74,0.0790598633392751,100
100,484,1,9.68,0.08618508289096524,100
100,487,1,9.74,0.09731679105208517,100
100,493,1,9.86,0.09123922645981469,100
100,489,1,9.78,0.09407725607725607,100
100,489,1,9.78,0.08341619491619491,100
100,486,1,9.72,0.09151764901764901,100
100,491,1,9.82,0.09498710766357825,100
100,491,1,9.82,0.10605944055944055,100
100,482,1,9.64,0.09599905649905649,100
100,485,1,9.7,0.09692784992784993,100
100,482,1,9.64,0.07904761904761905,100
